ID,Price,Price per sqm,Rooms,Area_total,Kitchen_area,Storeys,District ID,Latitude,Longitude,Construction Type,Renovation State,Construction Year,Log_Price,Log_Price per sqm,balcony,bathroom_num,wardrobe,view,furnished,appliances,floor_heating,air_conditioning,parking,security_features,renovation_quality,distance_to_nearest_metro_stations_m,sports_centers_count,supermarkets_count,schools_count,kindergartens_count,cafes_restaurants_count,public_transport_count,distance_to_nearest_woods_parks_m,distance_to_nearest_water_reservoirs_m,Floor
1240918399.0,6869982.0,72031.0,2.0,95.36,23.68,10.0,10026817,50.39171465,30.60379685,монолітно-каркасний,з ремонтом,2017.0,15.74267218966854,11.184865743706458,False,1.0,False,False,True,True,True,True,False,False,5.0,288.0,0,3,0,1,4,4,780.2,231.6,9
1476514874.0,4455038.0,80983.0,2.0,55.0,20.0,10.0,10026817,50.39171465,30.60379685,монолітно-каркасний,з ремонтом,2017.0,15.309546373057485,11.302006883278588,False,1.0,True,True,True,True,False,True,False,True,5.0,288.0,0,3,0,1,4,4,780.2,231.6,9
1364440903.0,2165085.0,78443.0,1.0,27.6,9.0,11.0,10026817,50.39171465,30.60379685,монолітно-каркасний,з ремонтом,2017.0,14.587970641493536,11.27014027340073,False,1.0,False,False,False,True,False,False,False,True,5.0,288.0,0,3,0,1,4,4,780.2,231.6,4
1651853963.0,1748723.0,29646.0,3.0,59.0,7.0,9.0,10026650,50.481403,30.627585,панельні,з ремонтом,1971.0,14.374396937088614,10.297116218868338,True,1.0,False,False,False,False,False,False,False,False,1.0,2256.6,1,2,4,9,12,3,643.8,0.0,8
1671625397.0,1956904.0,32602.0,3.0,60.0,7.0,9.0,10026650,50.469954,30.631976,панельні,без ремонту,1968.0,14.48687470151061,10.39215958766068,False,1.0,False,False,False,False,False,False,False,False,1.0,1121.6,3,2,8,6,4,5,421.8,0.0,2
1898416004.0,2914538.0,41637.0,3.0,70.0,9.0,9.0,10026650,50.470941,30.625526,панельні,з ремонтом,1968.0,14.885222217747229,10.63676849083572,True,1.0,False,False,True,True,False,True,False,False,3.0,1270.4,4,1,6,5,4,5,347.7,0.0,6
1893650972.0,2202558.0,34142.0,3.0,64.5,7.0,9.0,10026650,50.470672,30.627224,цегляний будинок,з ремонтом,1968.0,14.60513042417489,10.43831286595,True,1.0,False,True,False,False,False,True,True,False,3.0,1214.4,4,2,7,6,4,5,310.8,0.0,8
1150339143.0,2494012.0,35641.0,3.0,70.0,7.0,9.0,10026650,50.468309,30.626855,панельні,з ремонтом,1970.0,14.72940361771856,10.481279996733043,True,2.0,True,False,True,True,False,False,False,False,4.0,963.2,4,3,7,8,5,4,570.2,0.0,5
1965894496.0,2040177.0,41637.0,2.0,49.0,8.0,5.0,10026650,50.48312,30.633065,панельні,з ремонтом,1968.0,14.528547616915873,10.63676849083572,False,1.0,True,False,True,True,False,False,True,True,4.0,2229.7,1,2,5,9,6,5,484.8,0.0,5
1852044847.0,1519724.0,42220.0,1.0,36.0,8.0,16.0,10026650,50.484282,30.629953,утеплена панель,з ремонтом,1977.0,14.23403995540164,10.650673006578945,False,1.0,False,False,False,True,False,False,False,False,3.0,2442.6,1,4,5,7,7,3,735.6,0.0,3
1032649064.0,2206722.0,35599.0,3.0,62.0,8.0,9.0,10026650,50.47492,30.636809,цегляний будинок,з ремонтом,1971.0,14.607019167620136,10.480100916840122,True,1.0,False,False,False,True,False,True,False,False,4.0,1295.4,3,1,3,6,7,7,56.8,0.0,3
1656544230.0,1623814.0,52379.0,1.0,31.0,6.0,9.0,10026650,50.48215,30.629639,панельні,з ремонтом,1971.0,14.300288876958652,10.866280118061702,True,1.0,False,False,True,True,False,False,True,True,4.0,2246.6,1,3,6,10,8,5,633.0,0.0,5
1956405885.0,1790359.0,38098.0,2.0,47.0,7.0,5.0,10026650,50.477261,30.635012,цегляний будинок,з ремонтом,1968.0,14.397927274913997,10.547943314051182,False,1.0,False,False,True,True,False,False,False,False,4.0,1584.8,1,2,3,4,1,5,329.8,0.0,5
1390292910.0,1228270.0,40929.0,1.0,30.0,6.0,9.0,10026650,50.475579,30.63256,цегляний будинок,з ремонтом,1972.0,14.021118047381172,10.619618569486448,True,1.0,False,False,False,False,False,False,True,False,2.0,1526.1,3,1,7,7,6,4,367.2,0.0,1
1919456419.0,3414173.0,71115.0,1.0,48.0,11.5,16.0,10026650,50.48817,30.636483,монолітно-каркасний,з ремонтом,2009.0,15.043446147645854,11.172067625636462,True,1.0,True,True,True,False,False,False,True,True,3.0,2681.2,1,0,3,5,3,2,907.4,0.0,9
1926563815.0,2768811.0,49964.0,2.0,55.4,8.3,16.0,10026650,50.478873,30.633639,утеплена панель,з ремонтом,2003.0,14.833928905301391,10.81907803929589,True,1.0,False,False,True,True,False,False,False,True,2.0,1788.9,1,2,3,6,1,3,332.7,0.0,3
996210680.0,1394815.0,48090.0,1.0,29.0,7.0,9.0,10026650,50.485553,30.640414,цегляний будинок,з ремонтом,1973.0,14.148273064896504,10.780850328399447,True,1.0,False,False,True,True,False,False,False,False,1.0,2338.0,1,1,2,4,4,6,635.2,0.0,3
1870174364.0,2040177.0,42511.0,2.0,48.0,7.0,9.0,10026650,50.479885,30.628314,цегляний будинок,з ремонтом,1969.0,14.528547616915873,10.657541667999595,False,1.0,False,False,False,False,False,False,False,False,1.0,2089.6,1,3,5,9,10,5,595.2,0.0,1
1903802359.0,2643902.0,40055.0,3.0,66.0,14.0,9.0,10026650,50.485994,30.64355,панельні,з ремонтом,1971.0,14.78776679244261,10.59803375400978,True,1.0,False,False,True,True,False,False,True,False,5.0,2360.1,1,1,2,1,5,6,770.4,0.0,5
